name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,website,map
釜石市立栗林小学校,岩手県,,,11.5,0.5,0.8,4.6,9.4,14.9,17.6,21.6,23.3,20.2,13.9,8.1,2.7,,"https://www.google.com/maps?q=39.350763,141.827837"
大槌町役場かみよ稲穂館,岩手県,,,11.5,0.5,0.8,4.6,9.4,14.9,17.6,21.6,23.3,20.2,13.9,8.1,2.7,,"https://www.google.com/maps?q=39.3965454,141.8583911"
大ケ口多目的集会所,岩手県,,,11.5,0.5,0.8,4.6,9.4,14.9,17.6,21.6,23.3,20.2,13.9,8.1,2.7,,"https://www.google.com/maps?q=39.3697796,141.8917888"
桜木町保険福祉会館,岩手県,,,11.5,0.5,0.8,4.6,9.4,14.9,17.6,21.6,23.3,20.2,13.9,8.1,2.7,,"https://www.google.com/maps?q=39.3601993,141.8882412"
釜石市立尾崎小学校,岩手県,,,11.7,1.3,1.6,4.5,9.6,14.4,17.6,21.4,23.2,19.9,14.3,8.8,3.8,,"https://www.google.com/maps?q=39.2343491,141.9205483"
茨城県立高萩工業高校,茨城県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=36.6999045,140.7048101"
ホテルシーガリアマリン,岩手県,,,11.7,1.3,1.6,4.5,9.6,14.4,17.6,21.4,23.2,19.9,14.3,8.8,3.8,,"https://www.google.com/maps?q=39.2536968,141.8894879"
小国町立玉川小学校,新潟県,,,10.9,-0.3,-0.1,2.2,7.7,14.4,18.9,22.7,23.8,19.5,13.1,6.9,1.9,,"https://www.google.com/maps?q=38.0334214,139.6818974"
大槌勤労青少年体育センター,岩手県,,,11.5,0.5,0.8,4.6,9.4,14.9,17.6,21.6,23.3,20.2,13.9,8.1,2.7,,"https://www.google.com/maps?q=39.3580467,141.8803435"
米沢市営体育館,福島県,,,11.4,-0.8,-0.5,2.7,9.3,15.6,19.8,23.4,24.5,20.1,13.5,7.1,1.7,,"https://www.google.com/maps?q=37.9210744,140.1170142"
